Date,Leader's Price,Follower's Price,Cost,Leader's Price dL/dD,Leader's Price d2L/dD2,Profit,Profit dP/dD,Profit d2P/dD2
100,1.0,1.787140491555155,1.0,0.08100097242293902,0.0,0.0,0.0,0.0
101,1.081000972422939,2.5527215518683968,1.0,0.08100097242293902,0.0,8.282605376590901,0.0,0.0
102,1.243002917268817,2.6826505549341695,1.0,0.16200194484587804,0.08100097242293902,24.745700784117286,16.463095407526385,16.463095407526385
103,1.5670068069605732,2.9528183222755646,1.0,0.3240038896917561,0.16200194484587804,57.280967330900765,32.535266546783475,16.07217113925709
104,2.2150145863440853,3.48706719058301,1.0,0.6480077793835122,0.3240038896917561,120.7555959779044,63.47462864700364,30.939362100220166
105,3.5110301451111097,4.559202010244891,1.0,1.2960155587670243,0.6480077793835122,241.3663828934001,120.6107869154957,57.13615826849205
106,6.103061262645158,6.630339210390121,1.0,2.5920311175340487,1.2960155587670243,456.0897302479594,214.72334735455928,94.11256043906359
107,11.287123497713257,10.923003244445022,1.0,5.184062235068098,2.5920311175340496,785.2510330213239,329.1613027733645,114.43795541880525
108,21.655247967849455,19.47999593604651,1.0,10.368124470136198,5.1840622350681,1036.1446532941743,250.8936202728504,-78.26768250051413
109,42.39149690812185,36.20321874578009,1.0,20.736248940272397,10.368124470136198,-138.57162486368034,-1174.7162781578547,-1425.609898430705
110,83.86399478866664,70.88753622774588,1.0,41.47249788054479,20.736248940272397,-8838.055359085478,-8699.483734221798,-7524.767456063943
111,166.80899054975623,139.75751967728004,1.0,82.94499576108959,41.47249788054479,-52192.09285513642,-43354.03749605094,-34654.55376182914
112,332.6989820719354,275.11652258370907,1.0,165.88999152217917,82.94499576108959,-244842.058764396,-192649.96590925957,-149295.92841320863
113,664.4789651162937,551.2504848196182,1.0,331.7799830443583,165.88999152217912,-1040761.8805089659,-795919.8217445699,-603269.8558353104
114,1328.0389312050102,1115.381698774204,1.0,663.5599660887165,331.7799830443582,-4238628.113923357,-3197866.233414391,-2401946.411669821
115,2655.158863382443,2187.7118162839984,1.0,1327.119932177433,663.5599660887165,-17551047.145186547,-13312419.031263191,-10114552.7978488
116,5309.398727737309,4481.970522771626,1.0,2654.239864354866,1327.119932177433,-69014927.5215693,-51463880.37638275,-38151461.345119566
117,10617.87845644704,8951.820086110125,1.0,5308.479728709732,2654.239864354866,-277460779.8868466,-208445852.3652773,-156981971.98889452
118,21234.837913866504,18049.464901417738,1.0,10616.959457419463,5308.479728709732,-1102583911.7137756,-825123131.8269291,-616677279.4616518
119,42468.75682870543,35787.61446046497,1.0,21233.918914838927,10616.959457419463,-4454058288.252092,-3351474376.5383167,-2526351244.7113876
120,84936.59465838328,70846.10641548937,1.0,42467.837829677854,21233.918914838927,-18010138785.48131,-13556080497.22922,-10204606120.690903
121,169872.270317739,145649.9638940982,1.0,84935.67565935571,42467.837829677854,-70039871460.86172,-52029732675.38042,-38473652178.1512
122,339743.6216364504,287759.9034136184,1.0,169871.35131871141,84935.67565935571,-283800057270.20264,-213760185809.3409,-161730453133.9605
123,679486.3242738732,585144.4905009634,1.0,339742.70263742283,169871.35131871141,-1115645696786.6948,-831845639516.4922,-618085453707.1512
124,1358971.7295487188,1163571.6604406575,1.0,679485.4052748455,339742.7026374227,-4490098631817.814,-3374452935031.1196,-2542607295514.6274
125,2717942.54009841,2352648.662436037,1.0,1358970.8105496913,679485.4052748458,-17752688285840.676,-13262589654022.861,-9888136718991.742
126,5435884.161197793,4722230.398191784,1.0,2717941.6210993826,1358970.8105496913,-70735134187587.03,-52982445901746.36,-39719856247723.5
127,10871767.403396558,9375548.928214746,1.0,5435883.242198765,2717941.6210993826,-285189157278805.3,-214454023091218.28,-161471577189471.94
128,21743533.88779409,18696735.32114978,1.0,10871766.48439753,5435883.242198765,-1144304808527886.5,-859115651249081.2,-644661628157863.0
129,43487066.85658915,37940965.05619328,1.0,21743532.968795065,10871766.484397534,-4505796614621679.0,-3361491806093792.5,-2502376154844711.0
